url; title; description
https://github.com/blog/2019-how-to-undo-almost-anything-with-git; How to undo almost anything with git; ""
https://github.com/rails/actioncable-examples; ActionCable examples; ""
http://bigocheatsheet.com/; Big-O Cheat Sheet; ""
http://hackr.io/; Hackr.io; Programming Tutorials
http://www.bashoneliners.com/; Bash One-Liners; ""
https://www.hackerrank.com/; Hacker Rank; ""
http://www.commandlinefu.com/; Command Line Fu; ""
http://www.cssfontstack.com/; CSS Font Stack; ""
http://www.sinatrarb.com/intro.html; Sinatra; Sinatra Documentation
http://foundation.zurb.com/docs/; Foundation; Foundation Documentation
http://guides.rubyonrails.org/; RailsGuides; Ruby on Rails Documentation
